train_sample_rows,test_sample_rows,task,model,cv_best_score,best_params,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_low,f1_low,recall_medium,f1_medium,recall_high,f1_high,high_class_warning,roc_auc_ovr,mae,rmse,r2,mape_pct,median_ape_pct
240,150,classification,Random Forest default,,default,0.98,0.98,0.9799946645324796,0.9799946645324795,0.9805128205128205,0.98,0.98,0.98,1.0,0.9803921568627451,0.96,0.9795918367346939,0.0,0.9905333333333335,,,,,
240,150,classification,Random Forest tuned GridSearchCV,0.991691901545151,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 40}",0.98,0.98,0.9799946645324796,0.9799946645324795,0.9805128205128205,0.98,0.98,0.98,1.0,0.9803921568627451,0.96,0.9795918367346939,0.0,0.9918666666666667,,,,,
240,150,regression,Random Forest regressor default,,default,,,,,,,,,,,,,,,232.22412807361442,1826.2335248357326,0.06765903631560011,311.20812470398687,32.71681437133555
240,150,regression,Random Forest regressor tuned GridSearchCV,-545.9843705364575,"{'model__regressor__max_depth': 8, 'model__regressor__max_features': 'sqrt', 'model__regressor__min_samples_leaf': 1, 'model__regressor__n_estimators': 25}",,,,,,,,,,,,,,,227.6638465743698,1833.8785309006023,0.05983673826183489,286.4174636016635,33.38328035864365
