model,test_accuracy,test_balanced_accuracy,test_f1_macro,test_f1_weighted,test_precision_macro,test_recall_macro,test_recall_low,test_f1_low,test_recall_medium,test_f1_medium,test_recall_high,test_f1_high,test_high_class_warning,test_roc_auc_ovr
Random Forest,0.9954166666666666,0.9969135802469135,0.9954515460299422,0.9954170339913172,0.9940324594257178,0.9969135802469135,1.0,0.9943502824858758,0.9907407407407407,0.9953488372093023,1.0,0.9966555183946488,0.0,0.9997180605556668
Balanced Random Forest,0.9945833333333334,0.9960737125166655,0.9944958471649117,0.9945868559456801,0.9929740678909292,0.9960737125166655,1.0,0.9927477840451249,0.98989898989899,0.9949238578680203,0.9983221476510067,0.99581589958159,0.0,0.9997378278922971
Extra Trees,0.9358333333333333,0.9460779091651575,0.9363546956527675,0.9358050919795801,0.9286296888415194,0.9460779091651575,0.961038961038961,0.9426751592356688,0.9040404040404041,0.9339130434782609,0.9731543624161074,0.932475884244373,0.0,0.9941247267866485
Dummy Baseline,0.495,0.3333333333333333,0.22073578595317725,0.3277926421404682,0.165,0.3333333333333333,0.0,0.0,1.0,0.6622073578595318,0.0,0.0,1.0,0.5
Random Forest + High-threshold tuned,0.9954166666666666,0.9969135802469135,0.9954515460299422,0.9954170339913172,0.9940324594257178,0.9969135802469135,1.0,0.9943502824858758,0.9907407407407407,0.9953488372093023,1.0,0.9966555183946488,0.0,0.9997180605556668
