model,test_mae,test_rmse,test_r2,test_mape_pct,test_median_ape_pct,_valid_for_selection
Extra Trees Regressor,132.13881683464007,1475.2774797485831,0.798010144406232,39.87868784067114,10.884837388759967,True
Ridge log-target,198.77230593795446,2651.8446417123764,0.34735308790832686,42.701914104156856,14.940185118763205,True
Dummy Median,324.815859625,3298.453196979426,-0.009724246384773982,350.4860798841453,64.7887323943662,True
