factor,factor_baseline,lifecycle_share,pcf_low,pcf_high,impact_low,impact_high,range
End-of-life factor,0.25,0.05,2.475,2.525,-0.02499999999999991,0.02499999999999991,0.04999999999999982
Transport factor,0.12,0.1,2.45,2.55,-0.04999999999999982,0.04999999999999982,0.09999999999999964
Downstream/use factor,1.0,0.15,2.425,2.575,-0.07500000000000018,0.07500000000000018,0.15000000000000036
Energy factor,0.45,0.3,2.3499999999999996,2.6500000000000004,-0.15000000000000036,0.15000000000000036,0.3000000000000007
Material factor,1.9,0.4,2.3,2.7,-0.20000000000000018,0.20000000000000018,0.40000000000000036
