feature,mean_abs_shap
industry_Polyvinyl Acetate (Pvac),0.00020879248961490663
industry_Methanol (E-Fuel),0.00020610987347967864
industry_Stator,0.0002020734793188178
industry_Bioethylene (Starch Crop),0.0002003330240956556
is_weight_estimated,0.00019986479093956122
"industry_Iron (Pig, Pellet)",0.0001977954761489214
industry_Propylene Glycol,0.00019740455723070964
industry_Polycarbonate,0.00019596730917101061
industry_Vinyl Acetate,0.00018079726700921447
industry_Ammonia,0.000176008334941492
"industry_Ceramic (Barium Titanate, Bt)",0.00016859139276840225
protocol_simple_ISO,0.0001651393983953202
industry_Ethylene Glycol,0.0001589200351971714
has_eol_data,0.0001575463962899186
industry_Titanium Dioxide,0.0001572571441017714
company_sector_Food & Beverage,0.00014937183047790495
data_source_Carbon Catalogue,0.0001450050453502211
industry_Polyether Ether Ketone (Peek),0.0001397796221072165
weight_source_Functional unit 1 kg,0.000138877258762105
lifecycle_fraction_sum,0.00013807457048289282
transport_frac,0.00013766222953616442
"company_sector_Home durables, textiles, & equipment",0.0001325636223223858
industry_Polypropylene (Lpg Cracking),0.00013236299499451586
protocol_simple_GHG Protocol,0.00013193708736963848
industry_Mdi,0.00012516443002512928
protocol_simple_Unknown,0.0001244418264677552
dominant_stage_Downstream,0.00012415585101115885
industry_Light Naphtha,0.00012295173447418134
country_USA - Louisiana,0.0001189363495762855
industry_Phenol,0.00011384552742553995
transport_x_weight_log,0.00010846405509494199
industry_Hydroquinone,0.00010113058168182191
industry_Zinc,9.736249759038623e-05
country_Taiwan,9.714957827159527e-05
industry_Methanol (Coal Gasification),9.677415320159706e-05
industry_Beverages,9.641984501863617e-05
operations_x_weight_log,9.628478282267889e-05
country_USA - Illinois,9.615877925896889e-05
industry_Copper (Tubing),9.496438898196401e-05
country_China - Beijing,9.024024671094925e-05
lifecycle_max_share,8.919179169295789e-05
country_Slovakia,8.839815885494823e-05
country_USA - Colorado,8.451016801611554e-05
country_United States Of America,8.181372162571968e-05
company_sector_Packaging for consumer goods,8.093315115080004e-05
industry_Copper (Wire),7.789798740650743e-05
country_Italy,7.758486032551094e-05
weight_source_As per company's submission to CDP,7.619566982019907e-05
industry_Sodium Lauryl Sulfate,7.57541238684447e-05
industry_Polyethylene Terephthalate (Pet),7.556854151962574e-05
industry_Acetone,7.533477601652393e-05
country_Spain,7.445150379463994e-05
industry_group_Media,7.312825375992061e-05
country_Canada - New Brunswick,7.291798214822253e-05
industry_Rubber (Styrene-Butadiene),7.18526756804084e-05
industry_Sorbitol,7.180095478935283e-05
"company_sector_Computer, IT & telecom",7.108467258672308e-05
country_Belgium,7.065265329350659e-05
country_Iceland,6.980715500195579e-05
country_China - Gansu,6.848965504771034e-05
country_China - Ningxia,6.779468239073265e-05
industry_Ethylene (Naphtha Cracking),6.541527849817547e-05
industry_Polypropylene (Naphtha Cracking),6.479893937655079e-05
country_China - Tianjin,6.457217265820187e-05
weight_category_Medium (10-100 kg),6.430487971646207e-05
industry_Propylene (Naphtha Cracking),6.382309448199215e-05
country_Australia,6.316505505541491e-05
has_stage_data,6.2853185292102e-05
country_Romania,6.118970691418368e-05
country_USA - Wyoming,6.025106115129711e-05
industry_Polyethylene (Naphtha Cracking),5.976313217864606e-05
industry_Butylene (Naphtha Cracking),5.8578009144381304e-05
country_Luxembourg,5.576669339946503e-05
country_USA - South Dakota,5.5686167564150254e-05
country_Russia Central Asia,5.512707259492842e-05
lifecycle_min_share,5.4716790738795056e-05
stage_level_available_Yes,5.30884713402595e-05
country_Finland,5.2129457848541166e-05
industry_Containers & Packaging,5.121280231928718e-05
country_Slovenia,5.064354748426168e-05
country_China - Shanxi,4.972508382986581e-05
industry_group_Food & Staples Retailing,4.903963469165827e-05
country_USA - Iowa,4.83272306556038e-05
country_USA - Arkansas,4.832666481346529e-05
country_China - Hainan,4.6671386909260125e-05
country_USA - Kansas,4.567522058572807e-05
country_USA - New Jersey,4.4946813507258884e-05
"industry_Textiles, Apparel & Luxury Goods",4.391694093238998e-05
country_China - Chongqing,4.3128163838821786e-05
country_Bosnia Herzegovina,4.2339694668151306e-05
country_Bulgaria,4.2013714829945886e-05
country_USA - Montana,3.977654372910189e-05
country_Estonia,3.962087350488894e-05
country_Asia Pacific,3.931193193808327e-05
country_China - Henan,3.894062472269972e-05
country_China - Qinghai,3.779116548833915e-05
industry_Food Products,3.726037964710918e-05
country_China - Shaanxi,3.684438273536418e-05
country_Sweden,3.673181596499426e-05
country_France,3.672069163185436e-05
country_Malaysia,3.64271111198398e-05
country_Canada - Manitoba,3.588886823940663e-05
country_USA - Michigan,3.556348392774278e-05
industry_Media,3.544351611637072e-05
company_sector_Automobiles & components,3.492642349999717e-05
country_Montenegro,3.365160356274922e-05
country_China - Jiangsu,3.330396449752629e-05
country_China - Heilongjiang,3.318949645215464e-05
country_China,3.282926881008617e-05
country_Indonesia,3.27077305421502e-05
country_Brazil,3.205154158099299e-05
country_Canada - British Columbia,3.199120928471632e-05
country_China - Zhejiang,3.1934902377841046e-05
country_Latvia,3.168462046368916e-05
country_USA - New York,3.151857114309867e-05
country_Ireland,3.053882259214089e-05
country_Switzerland,2.983416059523122e-05
stage_level_available_No,2.9418960477712584e-05
has_transport_data,2.9345042076832684e-05
country_Japan,2.9265845631140654e-05
country_Canada - Saskatchewan,2.9231901571604944e-05
country_Global,2.9220777307378445e-05
country_Croatia,2.888819250232122e-05
country_USA - Kentucky,2.8463885638382562e-05
country_USA - Ohio,2.8306225453783104e-05
country_USA - Oklahoma,2.7649906973526443e-05
country_USA - Massachusetts,2.7604015602008392e-05
country_USA - Indiana,2.755437999895776e-05
country_China - Greater Area,2.754181439416563e-05
country_Netherlands,2.7331934165766826e-05
country_China - Tibet,2.654813455071712e-05
country_Colombia,2.6498617099377152e-05
country_China - Shanghai,2.6323374614796298e-05
industry_Software,2.611785366706939e-05
country_Middle East North Africa,2.5799894115953868e-05
country_China - Guangxi,2.5632287306253994e-05
country_Germany,2.5129616644075357e-05
country_China - Sichuan,2.5118580558148077e-05
country_Canada - Quebec,2.4985441592526094e-05
country_Hungary,2.4788167659573545e-05
