scenario,combined_factor,pcf,delta,delta_pct
Net Zero 2050,0.5525,1.38125,-1.11875,-44.75
Pessimistic,0.93,2.325,-0.17499999999999982,-6.999999999999995
Current baseline,1.0,2.5,0.0,0.0
